,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
lp__,-53.3982,0.0147152,1.30685,1.04454,-55.9458,-53.05,-51.9939,8673.29,9938.59,4332.31,1.00029
alpha,-13.2449,0.0174657,1.81079,1.76737,-16.1502,-13.2828,-10.2122,10924.0,11002.2,5456.56,1.00036
beta,8.62474,0.0168416,1.75149,1.72049,5.68765,8.6563,11.4334,10893.6,11823.2,5441.36,1.00032
sigma2,44.4745,0.151738,15.702,13.0109,25.5417,41.4258,73.807,12018.3,11416.1,6003.15,1.00016
sigma,6.5773,0.0104085,1.10168,1.02199,5.05388,6.43629,8.5911,12018.3,11416.1,6003.15,1.00016
y_pp[1],-8.23771,0.0493572,6.87094,6.62443,-19.3834,-8.28399,3.08664,19429.9,19371.3,9705.24,1.00009
y_pp[2],-10.6532,0.0502001,6.86081,6.64125,-21.6644,-10.746,0.596867,18705.6,18841.4,9343.46,1.00007
y_pp[3],-1.86243,0.0497968,6.95693,6.69563,-13.2724,-1.87076,9.46591,19560.9,19586.7,9770.67,0.999908
y_pp[4],-12.4057,0.0497866,6.87777,6.65071,-23.5068,-12.4157,-1.01888,19126.7,19114.0,9553.8,1.0
y_pp[5],-12.691,0.0501106,6.89204,6.6206,-23.9443,-12.7565,-1.39139,18940.9,18631.6,9460.99,1.00015
y_pp[6],-14.0549,0.0517114,6.98905,6.72314,-25.5058,-14.0317,-2.6315,18289.3,18616.9,9135.53,0.999925
y_pp[7],-11.5642,0.0494092,6.82297,6.74688,-22.7372,-11.5642,-0.416374,19094.5,18345.0,9537.73,1.00015
y_pp[8],-7.94845,0.0486862,6.82745,6.64356,-19.0463,-7.95534,3.14792,19695.5,18889.9,9837.91,1.00012
y_pp[9],-3.88278,0.0486209,6.90196,6.6787,-15.1238,-3.90759,7.55001,20157.2,19104.5,10068.5,1.00007
y_pp[10],-1.13756,0.0492479,6.98897,6.76829,-12.5824,-1.10815,10.2536,20171.5,19602.7,10075.7,0.999975
y_pp[11],-6.80239,0.0485705,6.87314,6.64672,-18.1728,-6.7588,4.38649,20083.7,19120.1,10031.8,0.999972
y_pp[12],9.23154,0.056779,7.64003,7.52182,-3.33213,9.28032,21.5036,18111.6,18285.4,9046.76,1.00038
y_pp[13],-10.6831,0.0482874,6.82134,6.56692,-21.9232,-10.7122,0.546245,20002.1,18078.9,9991.06,1.00001
y_pp[14],-18.0146,0.0544407,7.17994,6.92142,-29.5729,-18.093,-6.20758,17396.4,17448.8,8689.52,1.00013
y_pp[15],2.25424,0.051221,7.11524,6.87065,-9.36517,2.2269,13.8037,19350.7,19032.3,9665.71,0.999887
y_pp[16],0.433414,0.0501312,7.05187,6.83111,-11.0744,0.457557,11.9257,19817.3,19561.9,9898.74,0.999998
y_pp[17],-9.4948,0.050125,6.86411,6.62269,-20.6872,-9.56386,1.8697,18818.0,18402.2,9399.6,1.00027
y_pp[18],-16.8271,0.0528677,6.99133,6.73768,-28.318,-16.8156,-5.42231,17595.0,18054.4,8788.73,1.00007
y_pp[19],-20.2284,0.0561424,7.31376,7.09161,-32.0021,-20.3036,-8.09298,17126.5,18229.0,8554.68,1.00003
y_pp[20],-5.347,0.0494462,6.89047,6.70759,-16.6137,-5.3205,5.72961,19560.8,17847.3,9770.62,0.999962
