Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
-478.048,0.0125611,1.22312,0.996292,-480.457,-477.728,-476.723,9699.56,13433.3,1059.25,1.00061
-10.7676,0.00511247,0.558565,0.563796,-11.684,-10.7696,-9.85251,11972.5,13135.4,1307.47,1.00063
9.25,0.00517148,0.549565,0.54881,8.34545,9.25243,10.1542,11316.2,13451.7,1235.79,1.00018
41.6246,0.0339151,4.1565,4.12778,35.313,41.3515,48.9506,15242.1,13901.0,1664.53,0.999928
6.44376,0.0026053,0.320269,0.320845,5.94247,6.43052,6.99647,15242.1,13901.0,1664.53,0.99993
-5.50841,0.0456587,6.46433,6.45573,-16.1088,-5.56453,5.12914,20074.1,18403.7,2192.21,0.99996
-8.03928,0.0460531,6.47539,6.46682,-18.558,-8.10772,2.7407,19776.1,19468.9,2159.67,0.999924
1.49346,0.0468902,6.56641,6.51373,-9.2734,1.51444,12.2893,19621.9,19482.3,2142.83,1.00003
-9.98232,0.0458027,6.44599,6.49723,-20.4968,-9.9785,0.665142,19836.2,19545.3,2166.23,1.00027
-10.1601,0.0453398,6.46609,6.50928,-20.7004,-10.1824,0.628979,20342.9,19998.1,2221.57,0.999979
-11.6716,0.0472018,6.48448,6.46771,-22.3355,-11.681,-0.979119,18953.2,19559.2,2069.81,1.00013
-8.92528,0.045568,6.45382,6.42923,-19.5832,-8.93872,1.72751,20062.5,19455.3,2190.94,0.999925
-5.07416,0.0452244,6.45329,6.45056,-15.7423,-5.05955,5.42435,20370.5,19255.0,2224.58,1.00004
-0.729796,0.0456511,6.43749,6.44118,-11.205,-0.777208,9.89361,19889.1,19204.5,2172.01,1.00008
2.17546,0.0461343,6.49955,6.44252,-8.48281,2.17536,12.919,19887.8,19552.9,2171.87,1.00017
-3.8266,0.0461534,6.53512,6.52754,-14.5255,-3.79298,6.90508,20049.6,19539.6,2189.54,0.999988
13.3434,0.0462842,6.54164,6.43053,2.59594,13.2999,24.1944,19995.2,19577.5,2183.6,1.00037
-7.94755,0.0461252,6.50156,6.50321,-18.6482,-7.91796,2.70215,19877.9,19387.7,2170.78,1.00016
-15.8465,0.0475297,6.54529,6.52797,-26.5421,-15.8571,-5.19383,19003.7,19458.0,2075.32,1.00002
5.86872,0.045337,6.50304,6.49845,-4.84399,5.86411,16.6144,20577.2,20044.6,2247.15,1.00015
3.82795,0.0459483,6.46365,6.46025,-6.76014,3.83197,14.4192,19800.1,19363.4,2162.29,1.00011
-6.75775,0.046307,6.46633,6.50346,-17.3073,-6.7783,3.95467,19492.7,19638.6,2128.72,0.999995
-14.6212,0.0460081,6.51211,6.50124,-25.4399,-14.5905,-3.90931,20045.8,19822.4,2189.12,1.0
-18.2787,0.0461993,6.43614,6.47565,-28.9516,-18.2258,-7.73283,19411.3,19258.7,2119.83,1.00017
-2.28964,0.0452465,6.45555,6.40914,-12.9359,-2.27906,8.33617,20368.4,19621.7,2224.35,1.00001
-5.42157,0.0454202,6.48119,6.3513,-16.0431,-5.41957,5.2837,20378.6,19014.7,2225.47,0.999932
1.62396,0.0459612,6.48771,6.46694,-9.21065,1.63397,12.1347,19936.2,19805.5,2177.16,0.999939
-15.9857,0.046369,6.48266,6.4348,-26.5432,-15.9573,-5.3819,19538.6,19218.8,2133.73,0.999912
-13.6287,0.0473117,6.52307,6.50942,-24.2764,-13.6259,-2.82091,19006.4,19630.6,2075.61,1.00023
-11.3254,0.045759,6.51175,6.52777,-22.0113,-11.3657,-0.788539,20258.6,20117.8,2212.36,1.00001
-1.86664,0.046196,6.49927,6.48955,-12.605,-1.95442,8.92225,19847.7,19543.6,2167.49,1.00038
0.348658,0.0461589,6.53896,6.57649,-10.3251,0.343702,11.1611,20076.4,19549.7,2192.47,1.00012
-7.8945,0.0454866,6.38655,6.3769,-18.4727,-7.82508,2.50366,19784.1,19764.4,2160.54,0.999905
-0.307278,0.0462295,6.50262,6.49733,-11.0064,-0.364907,10.4693,19791.9,18899.4,2161.39,0.999873
-24.8054,0.0475974,6.55839,6.44552,-35.4043,-24.853,-14.1026,18987.2,19973.2,2073.51,1.00006
-8.75822,0.046135,6.46995,6.52338,-19.3829,-8.79411,1.87057,19676.5,18817.5,2148.79,1.00002
-2.86596,0.0461037,6.47147,6.45311,-13.5118,-2.88698,7.84823,19706.3,19624.3,2152.05,1.00009
-7.9752,0.0456196,6.45022,6.462,-18.6466,-8.02034,2.6184,20015.8,19797.7,2185.85,1.00003
